name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997
TotalAssets,"3,383,433,000,000","4,297,344,000,000","4,458,211,000,000","4,269,513,000,000","5,433,341,000,000","6,334,778,000,000","6,241,623,000,000","6,106,732,000,000","5,731,246,000,000","5,379,319,000,000","5,451,173,000,000","5,453,225,000,000","5,935,637,000,000","5,931,962,000,000","4,727,113,000,000","4,571,412,000,000","4,462,200,000,000","5,238,936,000,000","5,407,782,000,000","5,724,564,000,000","5,702,189,000,000","6,023,557,000,000","6,062,141,000,000","5,809,285,000,000"
	CurrentAssets,"2,038,099,000,000","3,033,858,000,000","3,579,096,000,000","2,736,293,000,000","3,458,585,000,000","3,338,406,000,000","3,209,224,000,000","3,163,707,000,000","3,001,417,000,000","2,799,668,000,000","2,761,606,000,000","2,720,631,000,000","2,929,382,000,000","2,991,207,000,000","2,646,616,000,000","2,474,319,000,000","2,352,419,000,000","2,621,216,000,000","2,674,527,000,000","3,090,091,000,000","3,156,346,000,000","3,298,468,000,000","3,431,958,000,000","3,462,650,000,000"
		CashCashEquivalentsAndShortTermInvestments,"376,973,000,000","1,335,520,000,000","500,820,000,000","707,693,000,000","969,715,000,000","199,366,000,000","171,340,000,000","209,169,000,000","214,305,000,000","258,840,000,000","267,449,000,000","343,793,000,000","248,649,000,000","309,312,000,000","270,921,000,000","295,003,000,000","319,277,000,000","327,098,000,000","370,432,000,000","487,595,000,000","558,377,000,000","621,769,000,000","736,683,000,000","707,190,000,000"
			CashAndCashEquivalents,"376,973,000,000","1,335,520,000,000","500,820,000,000","707,693,000,000","969,715,000,000","199,366,000,000","171,340,000,000","209,169,000,000","214,305,000,000","258,840,000,000","267,449,000,000","343,793,000,000","248,649,000,000","309,312,000,000","270,921,000,000","295,003,000,000","319,277,000,000","327,098,000,000","370,432,000,000","487,595,000,000","465,237,000,000","497,752,000,000","615,935,000,000","580,420,000,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,"93,140,000,000","124,017,000,000","120,748,000,000","126,770,000,000"
			CashCashEquivalentsAndShortTermInvestments,"376,973,000,000","1,335,520,000,000","500,820,000,000","707,693,000,000","969,715,000,000","199,366,000,000","171,340,000,000","209,169,000,000","214,305,000,000","258,840,000,000","267,449,000,000","343,793,000,000","248,649,000,000","309,312,000,000","270,921,000,000","295,003,000,000","319,277,000,000","327,098,000,000","370,432,000,000","487,595,000,000","558,377,000,000","621,769,000,000","736,683,000,000","707,190,000,000"
		AccountsReceivable,"990,986,000,000","1,038,593,000,000","1,104,021,000,000","1,196,344,000,000","1,266,583,000,000","1,600,469,000,000","1,483,907,000,000","1,355,551,000,000","1,307,634,000,000","1,076,869,000,000","1,160,389,000,000","1,038,396,000,000","1,253,108,000,000","1,295,808,000,000","1,181,943,000,000","1,052,288,000,000","962,216,000,000","1,007,396,000,000","976,037,000,000","1,018,246,000,000","988,044,000,000","972,459,000,000","1,033,368,000,000","1,210,938,000,000"
		Inventory,"482,327,000,000","468,878,000,000","469,767,000,000","624,321,000,000","729,123,000,000","1,004,739,000,000","934,018,000,000","1,003,108,000,000","884,264,000,000","864,382,000,000","795,601,000,000","758,305,000,000","851,452,000,000","801,513,000,000","664,922,000,000","649,998,000,000","629,044,000,000","629,659,000,000","693,350,000,000","819,633,000,000","837,188,000,000","997,886,000,000","1,001,801,000,000","1,068,154,000,000"
		OtherCurrentAssets,,,,,,,,,,,,,,,,"-26,599,000,000","-1,063,840,000,000",,"110,110,000,000","-27,410,000,000","-27,551,000,000","-34,267,000,000","-38,603,000,000",
		CurrentAssets,"2,038,099,000,000","3,033,858,000,000","3,579,096,000,000","2,736,293,000,000","3,458,585,000,000","3,338,406,000,000","3,209,224,000,000","3,163,707,000,000","3,001,417,000,000","2,799,668,000,000","2,761,606,000,000","2,720,631,000,000","2,929,382,000,000","2,991,207,000,000","2,646,616,000,000","2,474,319,000,000","2,352,419,000,000","2,621,216,000,000","2,674,527,000,000","3,090,091,000,000","3,156,346,000,000","3,298,468,000,000","3,431,958,000,000","3,462,650,000,000"
	TotalNonCurrentAssets,"1,345,334,000,000","1,263,486,000,000","879,115,000,000","1,533,220,000,000","1,974,756,000,000","2,996,372,000,000","3,032,399,000,000","2,943,025,000,000","2,729,829,000,000","2,579,651,000,000","2,689,567,000,000","2,732,594,000,000","3,006,255,000,000","2,940,755,000,000","2,080,497,000,000","2,097,093,000,000","2,109,781,000,000","2,617,720,000,000","2,733,255,000,000","2,634,473,000,000","2,545,843,000,000","2,725,089,000,000","2,630,183,000,000","2,346,635,000,000"
		NetPPE,"575,810,000,000","385,720,000,000","365,635,000,000","657,876,000,000","794,304,000,000","886,323,000,000","960,035,000,000","884,680,000,000","851,365,000,000","900,205,000,000","978,726,000,000","1,089,579,000,000","1,332,178,000,000","1,320,202,000,000","3,713,033,000,000","1,164,183,000,000","1,118,245,000,000","1,199,285,000,000","1,354,322,000,000","1,439,756,000,000","1,459,745,000,000","1,549,948,000,000","1,504,196,000,000","1,425,299,000,000"
			GrossPPE,"2,138,759,000,000","1,957,882,000,000","1,923,087,000,000","2,711,709,000,000","2,951,727,000,000","3,201,829,000,000","3,281,211,000,000","3,220,280,000,000","3,252,029,000,000","3,539,940,000,000","3,728,426,000,000","3,908,068,000,000","4,102,738,000,000","4,001,691,000,000","6,249,516,000,000","3,644,029,000,000","3,599,532,000,000","3,999,961,000,000","4,149,210,000,000","4,447,184,000,000","4,309,966,000,000","4,390,005,000,000","4,230,235,000,000","3,879,946,000,000"
			AccumulatedDepreciation,"-1,562,949,000,000","-1,572,162,000,000","-1,557,452,000,000","-2,053,833,000,000","-2,157,423,000,000","-2,315,506,000,000","-2,321,176,000,000","-2,335,600,000,000","-2,400,664,000,000","-2,639,735,000,000","-2,749,700,000,000","-2,818,489,000,000","-2,770,560,000,000","-2,681,489,000,000","-2,536,483,000,000","-2,479,846,000,000","-2,481,287,000,000","-2,800,676,000,000","-2,794,888,000,000","-3,007,428,000,000","-2,850,221,000,000","-2,840,057,000,000","-2,726,039,000,000","-2,454,647,000,000"
			NetPPE,"575,810,000,000","385,720,000,000","365,635,000,000","657,876,000,000","794,304,000,000","886,323,000,000","960,035,000,000","884,680,000,000","851,365,000,000","900,205,000,000","978,726,000,000","1,089,579,000,000","1,332,178,000,000","1,320,202,000,000","3,713,033,000,000","1,164,183,000,000","1,118,245,000,000","1,199,285,000,000","1,354,322,000,000","1,439,756,000,000","1,459,745,000,000","1,549,948,000,000","1,504,196,000,000","1,425,299,000,000"
		Goodwill,,,,,,,,,"442,761,000,000","283,453,000,000",,,,,,,,,,,,,,
		OtherIntangibleAssets,,,,,,,,,"268,904,000,000","275,793,000,000",,,,,,,,,,,,,,
		OtherNonCurrentAssets,"52,809,000,000","66,548,000,000","64,804,000,000","79,511,000,000","149,096,000,000","144,817,000,000","136,729,000,000","96,494,000,000","88,583,000,000","103,228,000,000","113,569,000,000","125,394,000,000","141,672,000,000","152,383,000,000","-2,357,611,000,000","177,650,000,000","175,305,000,000","192,355,000,000","200,554,000,000","449,480,000,000","449,851,000,000","517,608,000,000","421,121,000,000","304,943,000,000"
		TotalNonCurrentAssets,"1,345,334,000,000","1,263,486,000,000","879,115,000,000","1,533,220,000,000","1,974,756,000,000","2,996,372,000,000","3,032,399,000,000","2,943,025,000,000","2,729,829,000,000","2,579,651,000,000","2,689,567,000,000","2,732,594,000,000","3,006,255,000,000","2,940,755,000,000","2,080,497,000,000","2,097,093,000,000","2,109,781,000,000","2,617,720,000,000","2,733,255,000,000","2,634,473,000,000","2,545,843,000,000","2,725,089,000,000","2,630,183,000,000","2,346,635,000,000"
	TotalAssets,"3,383,433,000,000","4,297,344,000,000","4,458,211,000,000","4,269,513,000,000","5,433,341,000,000","6,334,778,000,000","6,241,623,000,000","6,106,732,000,000","5,731,246,000,000","5,379,319,000,000","5,451,173,000,000","5,453,225,000,000","5,935,637,000,000","5,931,962,000,000","4,727,113,000,000","4,571,412,000,000","4,462,200,000,000","5,238,936,000,000","5,407,782,000,000","5,724,564,000,000","5,702,189,000,000","6,023,557,000,000","6,062,141,000,000","5,809,285,000,000"
TotalAssets,"3,383,433,000,000","4,297,344,000,000","4,458,211,000,000","4,269,513,000,000","5,433,341,000,000","6,334,778,000,000","6,241,623,000,000","6,106,732,000,000","5,731,246,000,000","5,379,319,000,000","5,451,173,000,000","5,453,225,000,000","5,935,637,000,000","5,931,962,000,000","4,727,113,000,000","4,571,412,000,000","4,462,200,000,000","5,238,936,000,000","5,407,782,000,000","5,724,564,000,000","5,702,189,000,000","6,023,557,000,000","6,062,141,000,000","5,809,285,000,000"
	TotalLiabilitiesNetMinorityInterest,"2,307,007,000,000","2,598,299,000,000","3,447,477,000,000","4,545,217,000,000","4,761,083,000,000","4,769,421,000,000","4,589,296,000,000","4,690,210,000,000","4,494,724,000,000","4,199,703,000,000","4,323,551,000,000","4,693,944,000,000","4,543,461,000,000","4,498,926,000,000","3,566,623,000,000","3,611,198,000,000","3,571,411,000,000","4,491,927,000,000","4,512,805,000,000","4,538,028,000,000","4,595,174,000,000","4,850,676,000,000","4,798,172,000,000","4,474,840,000,000"
		CurrentLiabilities,"1,397,917,000,000","1,878,419,000,000","2,430,940,000,000","2,718,403,000,000","3,072,009,000,000","2,910,868,000,000","2,592,046,000,000","2,743,724,000,000","2,659,260,000,000","2,498,309,000,000","2,488,445,000,000","3,067,773,000,000","2,985,987,000,000","2,811,291,000,000","2,408,970,000,000","2,266,843,000,000","2,199,628,000,000","2,618,777,000,000","2,872,493,000,000","2,880,850,000,000","2,887,373,000,000","2,980,115,000,000","3,240,529,000,000","3,334,957,000,000"
			CurrentDebt,"107,178,000,000","357,744,000,000","301,558,000,000","685,625,000,000","619,612,000,000","296,379,000,000","203,523,000,000","433,128,000,000","326,141,000,000","1,505,991,000,000","1,449,249,000,000","1,074,175,000,000","576,123,000,000","261,921,000,000","369,662,000,000","495,341,000,000","579,359,000,000","879,159,000,000","1,070,657,000,000","979,708,000,000","1,018,846,000,000","1,193,714,000,000","1,463,551,000,000","1,535,744,000,000"
