name,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995,05/31/1994,05/31/1993,05/31/1992,05/31/1991,05/31/1990,05/31/1989,05/31/1988,05/31/1987,05/31/1986
TotalAssets,"115,438,000,000","108,709,000,000","137,264,000,000","134,991,000,000","112,180,000,000","110,903,000,000","90,344,000,000","81,812,000,000","78,327,000,000","73,535,000,000","61,578,000,000","47,416,000,000","47,268,000,000","34,572,000,000","29,029,000,000","20,687,000,000","12,763,000,000","11,064,000,000","10,800,000,000","11,030,160,000","13,076,779,000","7,259,654,000","5,819,011,000","4,624,300,000","3,357,243,000","2,424,500,000","1,595,000,000","1,184,000,000","955,600,000","857,600,000","787,200,000","460,200,000","249,600,000","143,800,000","57,400,000"
	CurrentAssets,"52,140,000,000","46,386,000,000","75,964,000,000","74,515,000,000","64,313,000,000","63,183,000,000","48,138,000,000","41,692,000,000","40,023,000,000","39,174,000,000","27,004,000,000","18,581,000,000","18,103,000,000","12,883,000,000","11,974,000,000","8,479,000,000","11,336,000,000","9,227,000,000","8,728,000,000","8,963,150,000","10,883,334,000","5,447,274,000","4,323,050,000","3,271,096,000","2,284,465,000","1,617,200,000","1,075,600,000","842,300,000","640,700,000","586,200,000","569,300,000","336,900,000","191,800,000","109,100,000","41,500,000"
		CashCashEquivalentsAndShortTermInvestments,"43,057,000,000","37,827,000,000","67,261,000,000","66,078,000,000","56,125,000,000","54,368,000,000","38,819,000,000","32,216,000,000","30,676,000,000","28,848,000,000","18,469,000,000","12,624,000,000","11,043,000,000","7,020,000,000","7,605,000,000","4,802,000,000","8,587,000,000","6,519,000,000","5,841,000,000","5,887,661,000","7,761,998,000","2,562,764,000","1,919,199,000","1,213,190,000","840,908,000","480,200,000","404,800,000","284,600,000","153,300,000","101,500,000","44,800,000","49,400,000","48,600,000","37,600,000","12,500,000"
			CashAndCashEquivalents,"37,239,000,000","20,514,000,000","21,620,000,000","21,784,000,000","20,152,000,000","21,716,000,000","17,769,000,000","14,613,000,000","14,955,000,000","16,163,000,000","9,914,000,000","8,995,000,000","8,262,000,000","6,218,000,000","6,659,000,000","3,894,000,000","4,138,000,000","4,737,000,000","3,095,000,000","4,449,166,000","7,429,206,000","1,785,715,000","1,273,681,000","890,162,000","715,742,000","480,200,000","404,800,000","284,600,000","153,300,000","101,500,000","44,800,000","49,400,000","48,600,000","37,600,000","12,500,000"
			OtherShortTermInvestments,"5,818,000,000","17,313,000,000","45,641,000,000","44,294,000,000","35,973,000,000","32,652,000,000","21,050,000,000","17,603,000,000","15,721,000,000","12,685,000,000","8,555,000,000","3,629,000,000","2,781,000,000","802,000,000","946,000,000","908,000,000","4,449,000,000","1,782,000,000","2,746,000,000","1,438,495,000","332,792,000","777,049,000","645,518,000","323,028,000","125,166,000",,,,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"43,057,000,000","37,827,000,000","67,261,000,000","66,078,000,000","56,125,000,000","54,368,000,000","38,819,000,000","32,216,000,000","30,676,000,000","28,848,000,000","18,469,000,000","12,624,000,000","11,043,000,000","7,020,000,000","7,605,000,000","4,802,000,000","8,587,000,000","6,519,000,000","5,841,000,000","5,887,661,000","7,761,998,000","2,562,764,000","1,919,199,000","1,213,190,000","840,908,000","480,200,000","404,800,000","284,600,000","153,300,000","101,500,000","44,800,000","49,400,000","48,600,000","37,600,000","12,500,000"
		AccountsReceivable,"5,551,000,000","5,134,000,000","5,279,000,000","5,300,000,000","5,385,000,000","5,618,000,000","6,087,000,000","6,049,000,000","6,377,000,000","6,628,000,000","5,585,000,000","4,430,000,000","5,127,000,000","4,074,000,000","3,022,000,000","2,570,000,000","2,012,000,000","1,920,000,000","2,036,000,000","2,432,131,000","2,533,964,000","2,238,204,000","1,857,480,000","1,540,470,000","1,084,858,000",,,,,,,,,,
		Inventory,,,,"300,000,000","212,000,000","314,000,000","189,000,000","240,000,000","158,000,000","303,000,000","259,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"290,700,000","95,200,000","78,900,000","86,400,000","98,700,000","27,500,000","9,300,000","3,800,000","2,300,000","1,300,000"
		CurrentAssets,"52,140,000,000","46,386,000,000","75,964,000,000","74,515,000,000","64,313,000,000","63,183,000,000","48,138,000,000","41,692,000,000","40,023,000,000","39,174,000,000","27,004,000,000","18,581,000,000","18,103,000,000","12,883,000,000","11,974,000,000","8,479,000,000","11,336,000,000","9,227,000,000","8,728,000,000","8,963,150,000","10,883,334,000","5,447,274,000","4,323,050,000","3,271,096,000","2,284,465,000","1,617,200,000","1,075,600,000","842,300,000","640,700,000","586,200,000","569,300,000","336,900,000","191,800,000","109,100,000","41,500,000"
	TotalNonCurrentAssets,"63,298,000,000","62,323,000,000","61,300,000,000","60,476,000,000","47,867,000,000","47,720,000,000","42,206,000,000","40,120,000,000","38,304,000,000","34,361,000,000","34,574,000,000","28,835,000,000","29,165,000,000","21,689,000,000","17,055,000,000","12,208,000,000","1,427,000,000","1,837,000,000","2,072,000,000","2,067,010,000","2,193,445,000","1,812,380,000","1,495,961,000","1,353,204,000","1,072,778,000","807,300,000","519,400,000","341,700,000","314,900,000","271,400,000","217,900,000","123,300,000","57,800,000","34,700,000","15,900,000"
		NetPPE,"6,244,000,000","6,252,000,000","5,897,000,000","5,315,000,000","4,000,000,000","3,686,000,000","3,061,000,000","3,053,000,000","3,021,000,000","2,857,000,000","2,763,000,000","1,922,000,000","1,688,000,000","1,603,000,000","1,391,000,000","1,442,000,000","1,068,000,000","1,062,000,000","987,000,000","974,751,000","934,455,000","987,482,000","934,350,000","868,948,000","685,754,000","535,000,000","378,500,000","189,200,000","207,000,000","194,200,000","171,900,000","94,500,000","47,600,000","26,900,000","14,300,000"
			GrossPPE,"13,825,000,000","13,075,000,000","11,808,000,000","10,294,000,000","8,096,000,000","7,295,000,000","6,239,000,000","5,756,000,000","5,419,000,000","5,095,000,000","4,648,000,000","3,826,000,000","3,640,000,000","3,459,000,000","3,051,000,000","3,023,000,000","2,653,000,000","2,556,000,000","2,337,000,000","2,303,637,000","2,125,030,000","2,023,447,000","1,733,328,000","1,477,274,000","1,128,594,000","858,400,000","614,000,000","390,500,000","318,700,000","305,900,000","238,500,000","127,900,000","50,300,000","35,000,000","14,500,000"
