name,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
TotalAssets,"20,762,400,000","18,768,682,000","14,535,556,000","12,707,114,000","11,726,472,000","10,785,829,000","10,380,298,000","9,974,523,000","8,991,183,000","8,141,148,000","7,282,237,000","5,821,598,000","5,713,679,000","5,962,548,000","2,440,315,000","1,958,632,000","1,555,045,000","1,051,610,000","930,623,000","1,069,416,000","803,859,000","767,331,000","940,071,000","1,012,285,000","884,732,000","625,500,000","352,900,000","281,300,000","221,200,000","145,700,000","94,100,000","65,500,000","32,300,000","20,000,000"
	CurrentAssets,"6,494,925,000","4,857,039,000","7,247,813,000","5,839,774,000","4,821,892,000","4,602,328,000","4,045,929,000","4,331,360,000","3,771,451,000","3,216,050,000","2,473,624,000","2,735,103,000","2,572,977,000","2,884,469,000","2,008,578,000","1,551,029,000","1,329,028,000","814,172,000","767,364,000","877,912,000","623,015,000","455,945,000","678,946,000","736,706,000","692,787,000","532,400,000","304,300,000","224,400,000","161,600,000","109,100,000","77,300,000","51,500,000","25,500,000","16,600,000"
		CashCashEquivalentsAndShortTermInvestments,"4,176,976,000","3,228,962,000","5,819,774,000","4,761,300,000","3,988,084,000","3,739,491,000","3,173,752,000","3,538,353,000","2,911,692,000","2,468,015,000","1,904,473,000","2,019,202,000","1,993,854,000","2,280,879,000","1,700,834,000","1,313,221,000","1,096,533,000","617,737,000","581,613,000","679,853,000","498,716,000","272,547,000","502,956,000","564,116,000","516,040,000","190,100,000","94,700,000","47,200,000","30,300,000","19,500,000","13,100,000","35,200,000","17,400,000","12,900,000"
			CashAndCashEquivalents,"2,650,221,000","1,642,775,000","2,306,072,000","1,011,315,000","876,560,000","1,117,400,000","834,556,000","1,425,052,000","989,500,000","749,891,000","999,487,000","886,450,000","946,422,000","772,500,000","420,818,000","376,127,000","189,917,000","183,684,000","218,662,000","236,866,000","171,145,000","110,871,000","267,576,000","110,745,000","58,493,000","190,100,000","94,700,000","47,200,000","30,300,000","19,500,000","13,100,000","35,200,000","17,400,000","12,900,000"
			OtherShortTermInvestments,"1,526,755,000","1,586,187,000","3,513,702,000","3,749,985,000","3,111,524,000","2,622,091,000","2,339,196,000","2,113,301,000","1,922,192,000","1,718,124,000","904,986,000","1,132,752,000","1,047,432,000","1,508,379,000","1,280,016,000","937,094,000","906,616,000","434,053,000","362,951,000","442,987,000","327,571,000","161,676,000","235,380,000","453,371,000","457,547,000",,,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"4,176,976,000","3,228,962,000","5,819,774,000","4,761,300,000","3,988,084,000","3,739,491,000","3,173,752,000","3,538,353,000","2,911,692,000","2,468,015,000","1,904,473,000","2,019,202,000","1,993,854,000","2,280,879,000","1,700,834,000","1,313,221,000","1,096,533,000","617,737,000","581,613,000","679,853,000","498,716,000","272,547,000","502,956,000","564,116,000","516,040,000","190,100,000","94,700,000","47,200,000","30,300,000","19,500,000","13,100,000","35,200,000","17,400,000","12,900,000"
		AccountsReceivable,"1,534,809,000","1,315,578,000","1,217,968,000","833,033,000","672,006,000","591,800,000","599,820,000","617,233,000","634,373,000","554,328,000","410,879,000","467,234,000","318,145,000","356,815,000","173,245,000","141,945,000","146,311,000","116,506,000","124,106,000","140,514,000","78,766,000","141,180,000","130,974,000","126,715,000","133,208,000","96,600,000",,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,"7,277,000","9,600,000","4,100,000","4,800,000","3,900,000","4,000,000","1,500,000","1,100,000","500,000",
		OtherCurrentAssets,,,,,,,,,,,,,,,,"18,617,000","22,578,000","18,032,000","20,620,000","14,486,000","9,348,000","10,190,000","45,016,000","45,875,000","11,924,000","236,100,000","155,700,000","123,500,000","89,500,000","54,300,000","38,700,000","600,000","100,000","100,000"
		CurrentAssets,"6,494,925,000","4,857,039,000","7,247,813,000","5,839,774,000","4,821,892,000","4,602,328,000","4,045,929,000","4,331,360,000","3,771,451,000","3,216,050,000","2,473,624,000","2,735,103,000","2,572,977,000","2,884,469,000","2,008,578,000","1,551,029,000","1,329,028,000","814,172,000","767,364,000","877,912,000","623,015,000","455,945,000","678,946,000","736,706,000","692,787,000","532,400,000","304,300,000","224,400,000","161,600,000","109,100,000","77,300,000","51,500,000","25,500,000","16,600,000"
	TotalNonCurrentAssets,"14,267,475,000","13,911,643,000","7,287,743,000","6,867,340,000","6,904,580,000","6,183,501,000","6,334,369,000","5,643,163,000","5,219,732,000","4,925,098,000","4,808,613,000","3,086,495,000","3,140,702,000","3,078,079,000","431,737,000","407,603,000","226,017,000","237,438,000","163,259,000","191,504,000","180,844,000","311,386,000","261,125,000","275,579,000","191,945,000","93,100,000","48,600,000","56,900,000","59,600,000","36,600,000","16,800,000","14,000,000","6,800,000","3,400,000"
		NetPPE,"1,293,015,000","1,075,072,000","936,976,000","816,264,000","787,421,000","785,123,000","659,774,000","664,302,000","527,828,000","448,881,000","388,132,000","313,037,000","289,758,000","227,197,000","103,549,000","99,675,000","77,007,000","71,090,000","80,993,000","64,268,000","69,138,000","93,887,000","80,978,000","80,231,000","51,708,000","39,100,000","23,300,000","20,700,000","17,600,000","12,100,000","9,600,000","8,100,000","3,700,000","1,700,000"
			GrossPPE,"2,861,647,000","2,480,908,000","2,203,494,000","1,926,212,000","1,758,616,000","1,699,157,000","1,447,738,000","1,398,675,000","1,153,758,000","973,968,000","830,850,000","665,631,000","580,635,000","481,572,000","312,792,000","306,928,000","264,768,000","235,324,000","219,359,000","199,957,000","221,208,000","221,515,000","187,485,000","157,603,000","155,943,000","113,300,000","62,500,000","48,800,000","36,900,000","24,800,000","13,400,000","12,200,000","5,700,000","2,800,000"
			AccumulatedDepreciation,"-1,568,632,000","-1,405,836,000","-1,266,518,000","-1,109,948,000","-971,195,000","-914,034,000","-787,964,000","-734,373,000","-625,930,000","-525,087,000","-442,718,000","-352,594,000","-290,877,000","-254,375,000","-209,243,000","-207,253,000","-187,761,000","-164,234,000","-138,366,000","-135,689,000","-152,070,000","-127,628,000","-106,507,000","-77,372,000","-104,235,000","-74,200,000","-39,200,000","-28,100,000","-19,300,000","-12,700,000","-3,800,000","-4,100,000","-2,000,000","-1,100,000"
			NetPPE,"1,293,015,000","1,075,072,000","936,976,000","816,264,000","787,421,000","785,123,000","659,774,000","664,302,000","527,828,000","448,881,000","388,132,000","313,037,000","289,758,000","227,197,000","103,549,000","99,675,000","77,007,000","71,090,000","80,993,000","64,268,000","69,138,000","93,887,000","80,978,000","80,231,000","51,708,000","39,100,000","23,300,000","20,700,000","17,600,000","12,100,000","9,600,000","8,100,000","3,700,000","1,700,000"
		InvestmentsAndAdvances,,,"0","80,439,000","80,439,000","80,439,000","207,239,000","207,239,000","207,239,000","207,239,000","207,239,000",,,,,,,,,,,,,,,,,,,,,,,
		Goodwill,"10,691,199,000","10,581,048,000","5,821,561,000","5,406,474,000","5,366,881,000","4,721,962,000","4,771,981,000","4,133,259,000","3,849,217,000","3,641,844,000","3,494,589,000","2,134,730,000","2,148,102,000","2,149,494,000",,,,,,,,,,,,,,,,,,,,
