name,ttm,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009,07/31/2008,07/31/2007,07/31/2006,07/31/2005,07/31/2004,07/31/2003,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,07/31/1993,07/31/1992,07/31/1991,07/31/1990,07/31/1989,07/31/1988
OperatingCashFlow,"15,566,000,000","15,831,000,000","13,666,000,000","13,876,000,000","13,570,000,000","12,552,000,000","12,332,000,000","12,894,000,000","11,491,000,000","10,079,000,000","10,173,000,000","9,897,000,000","12,089,000,000","10,104,000,000","7,899,000,000","7,568,000,000","7,121,000,000","5,240,000,000","6,587,000,000","6,392,000,000","6,141,000,000","4,438,000,000","2,880,515,000","1,442,123,000","1,062,726,000","395,755,000","317,500,000","176,000,000","125,500,000","44,000,000","9,500,000","2,200,000",
	NetIncome,"10,784,000,000","11,621,000,000","110,000,000","9,609,000,000","10,739,000,000","8,981,000,000","7,853,000,000","9,983,000,000","8,041,000,000","6,490,000,000","7,767,000,000","6,134,000,000","8,052,000,000","7,333,000,000","5,580,000,000","5,741,000,000","4,401,000,000","3,578,000,000","1,893,000,000","-1,014,000,000","2,668,000,000","2,096,000,000","1,350,072,000","1,048,679,000","913,324,000","421,008,000","314,900,000","172,000,000","84,400,000","43,200,000","13,900,000","4,200,000","400,000"
	DepreciationAndAmortization,"1,828,000,000","1,897,000,000","2,192,000,000","2,286,000,000","2,150,000,000","2,442,000,000","2,432,000,000","2,351,000,000","2,602,000,000","2,486,000,000","2,030,000,000","1,768,000,000","1,744,000,000","1,413,000,000","1,293,000,000","1,009,000,000","1,443,000,000","1,591,000,000","1,957,000,000","2,236,000,000","863,000,000","486,000,000","327,333,000","212,200,000","132,594,000","58,510,000","30,800,000","13,600,000","6,700,000","3,000,000","1,000,000","100,000",
	DeferredIncomeTax,"34,000,000","-350,000,000","900,000,000","-124,000,000","-194,000,000","-23,000,000","-678,000,000","-37,000,000","-314,000,000","-157,000,000","-477,000,000","-574,000,000","-772,000,000","-622,000,000","-343,000,000","90,000,000","1,089,000,000","118,000,000","-512,000,000","473,000,000","1,713,000,000","630,000,000","360,459,000","88,397,000","124,176,000","-65,665,000","-30,700,000","-6,600,000","-7,800,000","-5,800,000","-400,000","-1,200,000",
	StockBasedCompensation,"1,574,000,000","1,570,000,000","1,576,000,000","1,526,000,000","1,458,000,000","1,440,000,000","1,348,000,000","1,120,000,000","1,401,000,000","1,620,000,000","1,517,000,000","1,140,000,000","1,025,000,000","931,000,000","1,050,000,000","165,000,000",,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,"1,408,000,000","1,077,000,000","9,344,000,000","586,000,000","-128,000,000","-36,000,000","1,715,000,000","-484,000,000","-198,000,000","-83,000,000","-274,000,000","1,163,000,000","2,432,000,000","2,056,000,000","480,000,000","411,000,000","-451,000,000","-582,000,000","1,829,000,000","371,000,000","-651,000,000","675,000,000","202,384,000","-306,414,000","-178,941,000","-71,009,000","-16,500,000","-13,300,000","42,200,000","3,600,000","-5,000,000","-1,000,000",
	ChangesInAccountReceivables,"-870,000,000","-84,000,000","-269,000,000","756,000,000","-404,000,000","-413,000,000","340,000,000","-1,001,000,000","272,000,000","298,000,000","-1,528,000,000","610,000,000","171,000,000","-597,000,000","-913,000,000","-373,000,000","-488,000,000","-125,000,000","270,000,000","569,000,000","-1,043,000,000","54,000,000","-162,752,000","-558,664,000","-219,628,000","-154,324,000",,,,,,,
	ChangeInInventory,"275,000,000","131,000,000","-244,000,000","-394,000,000","315,000,000","-116,000,000","-109,000,000","218,000,000","-287,000,000","-147,000,000","-158,000,000","187,000,000","104,000,000","61,000,000","-41,000,000","-305,000,000","-538,000,000","-17,000,000","673,000,000","-1,644,000,000","-887,000,000","-434,000,000","-266,450,000","-74,374,000","-272,408,000","-85,662,000","-19,000,000","-18,300,000","-3,100,000","-2,400,000","-1,100,000","-1,400,000",
	ChangeInAccountPayable,"359,000,000","87,000,000","504,000,000","311,000,000","-65,000,000","87,000,000","-23,000,000","164,000,000","-7,000,000","-28,000,000","139,000,000","-208,000,000","62,000,000","-107,000,000","-43,000,000","62,000,000","54,000,000","35,000,000","-174,000,000","-105,000,000","286,000,000","102,000,000","27,576,000","52,225,000","93,773,000","12,186,000",,,,,,,
	FreeCashFlow,"14,796,000,000","14,922,000,000","12,832,000,000","12,912,000,000","12,424,000,000","11,325,000,000","11,057,000,000","11,734,000,000","10,365,000,000","8,905,000,000","9,165,000,000","8,892,000,000","10,821,000,000","8,853,000,000","7,127,000,000","6,876,000,000","6,508,000,000","4,523,000,000","3,946,000,000","4,117,000,000","4,611,000,000","3,854,000,000","2,465,672,000","1,111,826,000","779,886,000","283,833,000","257,900,000","142,100,000","103,900,000","32,700,000","5,400,000","1,900,000",
	OtherNonCashItems,,,,,,,,,,"6,490,000,000","44,000,000","154,000,000","90,000,000","115,000,000","209,000,000","26,000,000","570,000,000","4,000,000","53,000,000","1,240,000,000","1,261,000,000","381,000,000","436,171,000","262,512,000",,,"-200,000",,,,,"100,000",
	OperatingCashFlow,"15,566,000,000","15,831,000,000","13,666,000,000","13,876,000,000","13,570,000,000","12,552,000,000","12,332,000,000","12,894,000,000","11,491,000,000","10,079,000,000","10,173,000,000","9,897,000,000","12,089,000,000","10,104,000,000","7,899,000,000","7,568,000,000","7,121,000,000","5,240,000,000","6,587,000,000","6,392,000,000","6,141,000,000","4,438,000,000","2,880,515,000","1,442,123,000","1,062,726,000","395,755,000","317,500,000","176,000,000","125,500,000","44,000,000","9,500,000","2,200,000",
InvestingCashFlow,"5,690,000,000","14,837,000,000","15,324,000,000","-5,993,000,000","-8,117,000,000","-10,088,000,000","-6,643,000,000","-11,768,000,000","-3,815,000,000","-2,934,000,000","-11,931,000,000","-9,959,000,000","-4,193,000,000","-8,342,000,000","-9,644,000,000","2,614,000,000","466,000,000","-5,436,000,000","-807,000,000","-7,003,000,000","-4,377,000,000","-4,937,000,000","-3,094,105,000","-1,404,008,000","-1,057,841,000","-268,181,000","-315,300,000","-206,400,000","-135,300,000","-41,400,000","-25,400,000","-400,000",
	CapitalExpenditure,"-770,000,000","-909,000,000","-834,000,000","-964,000,000","-1,146,000,000","-1,227,000,000","-1,275,000,000","-1,160,000,000","-1,126,000,000","-1,174,000,000","-1,008,000,000","-1,005,000,000","-1,268,000,000","-1,251,000,000","-772,000,000","-692,000,000","-613,000,000","-717,000,000","-2,641,000,000","-2,275,000,000","-1,530,000,000","-584,000,000","-414,843,000","-330,297,000","-282,840,000","-111,922,000","-59,600,000","-33,900,000","-21,600,000","-11,300,000","-4,100,000","-300,000",
	PurchaseOfBusiness,"-237,000,000","-2,175,000,000","-3,006,000,000","-3,324,000,000","-3,161,000,000","-326,000,000","-2,989,000,000","-6,766,000,000","-375,000,000","-266,000,000","-5,279,000,000","-426,000,000","-398,000,000","-3,684,000,000","-5,424,000,000","-945,000,000","-175,000,000","-26,000,000","-115,000,000","-378,000,000",,"-19,000,000","0","-18,642,000","0","-17,920,000",,,,,,,
	PurchaseOfInvestment,"-8,293,000,000","-2,564,000,000","-14,552,000,000","-42,924,000,000","-47,016,000,000","-44,197,000,000","-36,701,000,000","-36,833,000,000","-42,190,000,000","-37,171,000,000","-48,769,000,000","-41,314,000,000","-22,500,000,000","-20,624,000,000","-21,918,000,000","-20,485,000,000","-33,067,000,000","-27,682,000,000","-21,291,000,000","-24,061,000,000","-17,251,000,000","-7,192,000,000","-5,172,860,000","-3,192,508,000","-1,595,295,000","-553,702,000","-769,500,000","-420,200,000","-259,500,000","-84,500,000","-23,100,000",,
	SaleOfInvestment,"14,818,000,000","20,475,000,000","33,643,000,000","41,173,000,000","42,984,000,000","35,818,000,000","34,066,000,000","32,917,000,000","39,710,000,000","35,655,000,000","42,997,000,000","32,825,000,000","19,990,000,000","17,368,000,000","18,480,000,000","24,630,000,000","34,327,000,000","22,816,000,000","21,185,000,000","19,949,000,000","15,721,000,000","3,654,000,000","2,857,504,000","2,328,742,000","861,152,000","470,859,000","519,000,000","220,200,000","147,300,000","54,500,000","2,000,000",,
