name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
OperatingCashFlow,"-67,885,000","-36,919,000","-68,894,000","249,264,000","167,759,000","297,648,000","30,918,000","57,326,000","26,244,000","23,003,000","12,282,000","-1,038,000","-5,420,000","-24,891,000","2,509,000","-148,000","-3,461,000","-1,932,000","9,357,000","-654,000","362,000","131,000","1,093,000","64,000","10,000","791,772","2,700,000","-700,000","-300,000","2,100,000","900,000","-100,000",,,
	NetIncome,"-401,316,000","-226,770,000","-401,909,000","-24,550,000","184,243,000","150,798,000","35,345,000","52,362,000","35,378,000","43,013,000","21,824,000","-25,306,000","-7,939,000","-19,168,000","-5,963,000","-8,609,000","-3,026,000","-12,325,000","-12,952,000","-19,611,000","2,187,000","6,670,000","4,647,000","1,792,000","788,000","2,279,781","2,700,000","1,800,000","-6,900,000","-4,600,000","1,400,000","1,100,000","1,500,000","500,000","-300,000"
	DepreciationAndAmortization,"65,424,000","70,300,000","82,805,000","85,173,000","87,963,000","86,924,000","58,538,000","14,476,000","11,455,000","5,246,000","5,030,000","5,453,000","4,551,000","4,512,000","4,431,000","6,550,000","6,228,000","4,128,000","4,510,000","4,286,000","3,539,000","3,161,000","3,615,000","1,515,000","984,000","947,453","700,000","600,000","600,000","600,000","400,000","300,000",,,
	DeferredIncomeTax,"-536,000","-339,000","-37,396,000","-115,249,000","-32,934,000","-46,130,000","25,293,000","2,091,000","67,000",,,,,,,,,"0","5,919,000","-5,647,000","-756,000","763,000","307,000","34,000","-578,000","2,553","-400,000",,"-500,000","200,000",,,,,
	StockBasedCompensation,"19,992,000","21,281,000","21,503,000","21,018,000","15,412,000","12,997,000","7,542,000","7,050,000","7,032,000","5,159,000","2,737,000","2,362,000","2,430,000",,,,,,,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,"-112,411,000","-21,885,000","23,245,000","152,669,000","-137,988,000","95,542,000","-86,639,000","-14,210,000","-29,783,000","-19,922,000","-5,663,000","11,126,000","-4,142,000","-13,419,000","2,093,000","2,966,000","-8,196,000","3,685,000","2,394,000","18,108,000","-4,608,000","-10,321,000","-7,476,000","-4,888,000","-1,929,000","-2,875,443","-400,000","-2,100,000","4,300,000","-1,300,000","-1,000,000","-1,700,000",,,
	ChangesInAccountReceivables,"-12,847,000","18,879,000","-11,627,000","141,979,000","-132,617,000","40,287,000","-95,470,000","-14,277,000","-23,856,000","-13,581,000","-2,045,000","-2,696,000","-2,417,000",,,,,,,,,,,,,,"-2,100,000","-500,000","-200,000","200,000","-100,000","-400,000",,,
	ChangeInInventory,"-9,428,000","3,877,000","9,694,000","-8,367,000","10,208,000","-50,729,000","-15,262,000","-3,797,000","-15,447,000","-9,307,000","-5,750,000","16,996,000","932,000","-19,361,000","-1,455,000","142,000","-2,614,000","2,594,000","-2,087,000","6,351,000","2,173,000","-5,213,000","-1,770,000","-2,235,000","-3,129,000","-1,313,420","-700,000","-600,000","-1,700,000","500,000","-1,100,000","-100,000",,,
	ChangeInAccountPayable,"-5,289,000","5,490,000","-5,002,000","-9,223,000","6,139,000","-4,819,000","11,024,000","1,975,000","4,489,000","5,892,000","1,608,000","-5,509,000","-5,275,000",,,,,,,,,,,,,,"2,100,000","-1,800,000","3,800,000","1,500,000","-200,000","-800,000",,,
	FreeCashFlow,"-99,891,000","-67,453,000","-138,055,000","153,894,000","88,871,000","265,879,000","-7,182,000","45,684,000","5,790,000","8,154,000","7,572,000","-2,435,000","-8,774,000","-27,075,000","-1,868,000","-2,005,000","-4,150,000","-3,751,000","-6,963,000","-4,780,000","-17,326,000","-6,731,000","-12,671,000","-6,823,000","-1,522,000","-4,447,566","1,100,000","-1,300,000","-600,000","1,500,000","600,000","-600,000",,,
	OtherNonCashItems,"44,091,000","35,148,000","5,637,000","4,909,000","6,649,000","7,128,000","17,000,000","4,177,000","7,218,000","45,122,000","8,881,000","4,894,000",,"3,184,000","1,948,000","407,000","1,064,000","2,071,000","8,967,000","2,210,000",,"-142,000",,"1,611,000","745,000","437,428","1,500,000","1,200,000","1,300,000","1,000,000","800,000","500,000",,,
	OperatingCashFlow,"-67,885,000","-36,919,000","-68,894,000","249,264,000","167,759,000","297,648,000","30,918,000","57,326,000","26,244,000","23,003,000","12,282,000","-1,038,000","-5,420,000","-24,891,000","2,509,000","-148,000","-3,461,000","-1,932,000","9,357,000","-654,000","362,000","131,000","1,093,000","64,000","10,000","791,772","2,700,000","-700,000","-300,000","2,100,000","900,000","-100,000",,,
InvestingCashFlow,"-31,488,000","-30,402,000","-69,131,000","-90,555,000","-72,922,000","-53,718,000","-966,541,000","-66,874,000","-75,501,000","-98,380,000","31,555,000","-1,397,000","-3,787,000","-2,184,000","-4,377,000","-1,857,000","-838,000","-1,743,000","-5,315,000","-4,126,000","-17,688,000","-6,233,000","-13,668,000","-6,387,000","-873,000","-4,943,399","-3,700,000","-500,000","2,200,000","-1,400,000",,"500,000",,,
	CapitalExpenditure,"-32,006,000","-30,534,000","-69,161,000","-95,370,000","-78,888,000","-31,769,000","-38,100,000","-11,642,000","-20,454,000","-14,849,000","-4,710,000","-1,397,000","-3,354,000","-2,184,000","-4,377,000","-1,857,000","-689,000","-1,819,000","-16,320,000","-4,126,000","-17,688,000","-6,862,000","-13,764,000","-6,887,000","-1,532,000","-5,239,338","-1,600,000","-600,000","-300,000","-600,000","-300,000","-500,000",,,
	PurchaseOfBusiness,,,,"0","0","-24,408,000","-987,802,000","-55,482,000","-55,047,000","-87,412,000",,,,,,,,,,,,,,,,,,,,,,,,,
