name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
TotalAssets,"1,288,639,000","1,495,257,000","1,909,511,000","1,973,720,000","2,112,710,000","1,906,901,000","431,805,000","369,565,000","307,145,000","111,116,000","68,759,000","82,329,000","86,966,000","82,083,000","57,095,000","66,922,000","59,415,000","63,538,000","84,461,000","96,518,000","76,098,000","61,416,000","38,715,000","31,094,000","29,817,000","26,255,921","21,200,000","14,200,000","15,100,000","13,600,000","17,400,000","14,800,000","17,400,000","10,900,000","10,800,000"
	CurrentAssets,"480,047,000","583,819,000","730,151,000","685,811,000","751,156,000","494,329,000","168,856,000","158,707,000","155,949,000","73,613,000","26,069,000","40,746,000","45,722,000","39,654,000","15,694,000","22,393,000","10,595,000","13,239,000","28,580,000","42,123,000","35,851,000","24,948,000","19,633,000","16,921,000","17,251,000","14,302,877","14,200,000","8,500,000","9,500,000","9,000,000","10,600,000","12,300,000","16,200,000","6,100,000","5,800,000"
		CashCashEquivalentsAndShortTermInvestments,"144,804,000","224,868,000","368,119,000","201,878,000","352,207,000","77,948,000","34,178,000","40,781,000","83,962,000","41,623,000","1,617,000","1,063,000","7,948,000","21,818,000","791,000","4,110,000","218,000","364,000","5,355,000","807,000","25,000","736,000","2,509,000","1,380,000","1,793,000","2,336,079","1,900,000","1,000,000","2,100,000","1,200,000","1,700,000","4,400,000","10,000,000","2,500,000","2,700,000"
			CashAndCashEquivalents,"144,804,000","224,868,000","368,119,000","200,772,000","346,266,000","70,680,000","34,178,000","40,781,000","83,962,000","41,623,000","1,617,000","1,063,000","7,948,000","21,818,000","791,000","4,110,000","218,000","364,000","5,355,000","807,000","25,000","736,000","2,509,000","1,380,000","891,000","767,286","1,900,000","1,000,000","2,100,000","1,200,000","1,700,000","4,400,000","10,000,000","2,500,000","2,700,000"
			OtherShortTermInvestments,,,"0","1,106,000","5,941,000","7,268,000",,,,,,,,,,,,,,,,,"0","0","902,000","1,568,793",,,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"144,804,000","224,868,000","368,119,000","201,878,000","352,207,000","77,948,000","34,178,000","40,781,000","83,962,000","41,623,000","1,617,000","1,063,000","7,948,000","21,818,000","791,000","4,110,000","218,000","364,000","5,355,000","807,000","25,000","736,000","2,509,000","1,380,000","1,793,000","2,336,079","1,900,000","1,000,000","2,100,000","1,200,000","1,700,000","4,400,000","10,000,000","2,500,000","2,700,000"
		AccountsReceivable,"134,173,000","153,126,000","141,383,000","283,154,000","150,621,000","220,716,000","64,998,000","51,017,000","25,307,000","11,270,000","9,225,000","6,529,000","4,112,000","4,781,000","3,222,000","6,582,000","1,626,000","1,421,000","5,902,000","24,144,000","17,695,000","11,165,000","5,429,000","4,625,000","4,916,000","4,918,753",,,,,,,,,
		Inventory,"170,047,000","173,645,000","183,568,000","174,793,000","185,316,000","131,310,000","55,982,000","52,495,000","35,456,000","18,917,000","13,167,000","30,163,000","31,095,000","11,734,000","10,279,000","10,421,000","7,807,000","10,401,000","8,135,000","14,058,000","16,473,000","11,004,000","9,955,000","8,838,000","8,860,000","5,979,707","4,700,000","4,100,000","3,400,000","1,700,000","4,800,000","3,300,000","3,200,000","2,400,000","2,000,000"
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,"579,000","1,098,000",,,,"576,000","525,000","359,375","2,800,000","700,000","1,700,000","4,500,000","1,900,000","1,700,000","200,000","100,000",
		CurrentAssets,"480,047,000","583,819,000","730,151,000","685,811,000","751,156,000","494,329,000","168,856,000","158,707,000","155,949,000","73,613,000","26,069,000","40,746,000","45,722,000","39,654,000","15,694,000","22,393,000","10,595,000","13,239,000","28,580,000","42,123,000","35,851,000","24,948,000","19,633,000","16,921,000","17,251,000","14,302,877","14,200,000","8,500,000","9,500,000","9,000,000","10,600,000","12,300,000","16,200,000","6,100,000","5,800,000"
	TotalNonCurrentAssets,"808,592,000","911,438,000","1,179,360,000","1,287,909,000","1,361,554,000","1,412,572,000","262,949,000","210,858,000","151,196,000","37,503,000","42,690,000","41,583,000","41,244,000","42,429,000","41,401,000","44,529,000","48,820,000","50,299,000","55,881,000","54,395,000","40,247,000","36,468,000","19,082,000","14,173,000","12,566,000","11,953,044","7,000,000","5,700,000","5,600,000","4,600,000","6,800,000","2,500,000","1,200,000","4,800,000","5,000,000"
