name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992
			AccountsPayable,"520,200,000","474,900,000","450,200,000","471,700,000","747,500,000","364,300,000","382,000,000","317,341,000","343,278,000","258,493,000","271,537,000","253,307,000","164,318,000","179,740,000","142,789,000","88,858,000","72,186,000","74,449,000","84,385,000","63,172,000","68,200,000","78,800,000","63,800,000","56,700,000","57,000,000","52,900,000","56,300,000","41,900,000"
			IncomeTaxPayable,"32,200,000","96,500,000","116,100,000","32,400,000","52,600,000","17,400,000","11,600,000",,,"3,048,000","3,334,000",,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"780,000,000","775,800,000","799,300,000","759,400,000","748,400,000","548,200,000","309,500,000","192,461,000","148,888,000","230,736,000","170,361,000","110,626,000","125,011,000","109,001,000","120,423,000","43,689,000","36,590,000","32,721,000","27,917,000",,,,,,,,,
			OtherCurrentLiabilities,,,,,,,"-100,000",,"4,093,000","5,428,000","19,620,000","77,140,000","46,226,000","54,153,000","42,326,000","41,387,000","48,786,000","39,426,000","46,698,000","41,864,000","58,000,000","57,300,000","48,600,000","35,600,000","34,300,000","32,300,000","28,800,000","29,700,000"
			CurrentLiabilities,"1,335,800,000","1,537,400,000","1,436,000,000","1,836,300,000","1,693,700,000","1,074,700,000","749,400,000","652,731,000","606,035,000","906,705,000","500,561,000","485,661,000","379,837,000","371,431,000","340,542,000","187,486,000","166,542,000","154,934,000","171,759,000","113,920,000","133,200,000","141,500,000","112,700,000","92,600,000","91,600,000","85,500,000","85,900,000","72,500,000"
		TotalNonCurrentLiabilitiesNetMinorityInterest,"4,161,500,000","3,777,900,000","4,022,200,000","6,076,200,000","7,364,100,000","4,111,800,000","2,268,800,000","1,518,671,000","1,052,199,000","1,097,376,000","1,113,873,000","1,155,701,000","790,848,000","738,449,000","773,597,000","35,376,000","29,004,000","22,709,000","18,278,000","19,462,000","149,700,000","108,900,000","29,800,000","75,600,000","123,500,000","94,000,000","92,800,000","60,700,000"
			LongTermDebt,"3,365,800,000","3,052,200,000","3,270,800,000","5,224,500,000","5,246,900,000","3,090,500,000","1,927,800,000","1,329,235,000","875,000,000","935,000,000","875,000,000","895,095,000","650,762,000","621,717,000","656,128,000",,,,,,"135,000,000","81,600,000","1,500,000","48,800,000","99,100,000","72,900,000","75,200,000","46,000,000"
			NonCurrentDeferredTaxesLiabilities,"280,600,000","282,300,000","321,900,000","389,900,000","1,745,100,000","727,900,000","127,800,000","24,126,000","10,601,000","55,333,000","139,916,000","139,212,000","103,775,000","81,923,000","74,379,000","29,606,000","25,484,000","20,313,000","17,419,000","19,462,000","14,700,000","27,300,000","28,200,000","26,800,000","24,400,000","21,000,000","17,600,000","14,700,000"
			OtherNonCurrentLiabilities,"515,100,000","443,400,000","429,500,000","461,800,000","372,100,000","293,400,000","213,200,000","165,310,000","166,598,000","107,043,000","98,957,000","121,394,000","36,311,000","34,809,000","43,090,000","5,770,000","3,520,000","2,396,000","859,000",,,,"100,000",,,"100,000",,
			TotalNonCurrentLiabilitiesNetMinorityInterest,"4,161,500,000","3,777,900,000","4,022,200,000","6,076,200,000","7,364,100,000","4,111,800,000","2,268,800,000","1,518,671,000","1,052,199,000","1,097,376,000","1,113,873,000","1,155,701,000","790,848,000","738,449,000","773,597,000","35,376,000","29,004,000","22,709,000","18,278,000","19,462,000","149,700,000","108,900,000","29,800,000","75,600,000","123,500,000","94,000,000","92,800,000","60,700,000"
		TotalLiabilitiesNetMinorityInterest,"5,497,300,000","5,315,300,000","5,458,200,000","7,912,500,000","9,057,800,000","5,186,500,000","3,018,200,000","2,171,402,000","1,658,234,000","2,004,081,000","1,614,434,000","1,641,362,000","1,170,685,000","1,109,880,000","1,114,139,000","222,862,000","195,546,000","177,643,000","190,037,000","133,382,000","282,900,000","250,400,000","142,500,000","168,200,000","215,100,000","179,500,000","178,700,000","133,200,000"
	StockholdersEquity,"5,803,800,000","5,668,000,000","6,170,500,000","5,958,100,000","10,662,600,000","8,692,900,000","2,331,400,000","1,851,037,000","1,529,044,000","1,086,808,000","921,921,000","933,715,000","754,469,000","640,744,000","590,837,000","536,232,000","448,424,000","416,144,000","385,875,000","351,760,000","332,400,000","345,100,000","425,900,000","381,200,000","340,600,000","295,500,000","235,000,000","183,700,000"
		CapitalStock,"7,359,900,000","7,421,700,000","7,892,900,000","8,135,000,000","8,621,900,000","6,678,200,000","538,500,000","0","0","0","0","0","0","0","534,518,000","104,160,000","88,990,000","89,222,000","108,952,000","102,750,000","102,000,000",,,,,,,
		RetainedEarnings,"-1,695,500,000","-1,838,300,000","-1,975,500,000","-2,095,100,000","1,938,300,000","1,875,100,000","1,715,900,000","1,306,925,000","934,333,000","619,303,000","419,086,000","289,994,000","178,374,000","121,053,000","64,776,000","429,694,000","358,263,000","327,157,000","276,960,000","249,304,000","230,000,000","228,500,000","280,100,000","235,100,000","195,300,000","150,800,000","96,100,000",
		GainsLossesNotAffectingRetainedEarnings,"139,400,000","84,600,000","253,100,000","-81,800,000","102,400,000","139,600,000","77,000,000","39,404,000","127,050,000","39,048,000","50,592,000","155,184,000","56,676,000","3,593,000","-8,457,000","2,378,000","1,171,000","-235,000","-37,000","-294,000","300,000",,,,,,,
		StockholdersEquity,"5,803,800,000","5,668,000,000","6,170,500,000","5,958,100,000","10,662,600,000","8,692,900,000","2,331,400,000","1,851,037,000","1,529,044,000","1,086,808,000","921,921,000","933,715,000","754,469,000","640,744,000","590,837,000","536,232,000","448,424,000","416,144,000","385,875,000","351,760,000","332,400,000","345,100,000","425,900,000","381,200,000","340,600,000","295,500,000","235,000,000","183,700,000"
	TotalAssets,"11,301,400,000","10,983,400,000","11,628,800,000","13,870,100,000","19,720,600,000","13,880,200,000","5,350,800,000","4,024,047,000","3,189,221,000","3,092,736,000","2,536,355,000","2,575,077,000","1,925,154,000","1,750,624,000","1,704,976,000","759,094,000","643,970,000","593,787,000","575,912,000","486,064,000","615,900,000","595,900,000","568,400,000","549,400,000","555,700,000","475,000,000","413,700,000","316,900,000"
